,County,State,Ben Carson.Number of Votes,Ben Carson.Party,Ben Carson.Percent of Votes,Bernie Sanders.Number of Votes,Bernie Sanders.Party,Bernie Sanders.Percent of Votes,Carly Fiorina.Number of Votes,Carly Fiorina.Party,Carly Fiorina.Percent of Votes,Chris Christie.Number of Votes,Chris Christie.Party,Chris Christie.Percent of Votes,Donald Trump.Number of Votes,Donald Trump.Party,Donald Trump.Percent of Votes,Hillary Clinton.Number of Votes,Hillary Clinton.Party,Hillary Clinton.Percent of Votes,Jeb Bush.Number of Votes,Jeb Bush.Party,Jeb Bush.Percent of Votes,John Kasich.Number of Votes,John Kasich.Party,John Kasich.Percent of Votes,Marco Rubio.Number of Votes,Marco Rubio.Party,Marco Rubio.Percent of Votes,Martin O'Malley.Number of Votes,Martin O'Malley.Party,Martin O'Malley.Percent of Votes,Mike Huckabee.Number of Votes,Mike Huckabee.Party,Mike Huckabee.Percent of Votes,Rand Paul.Number of Votes,Rand Paul.Party,Rand Paul.Percent of Votes,Rick Santorum.Number of Votes,Rick Santorum.Party,Rick Santorum.Percent of Votes,Ted Cruz.Number of Votes,Ted Cruz.Party,Ted Cruz.Percent of Votes,No Preference.Number of Votes,No Preference.Percent of Votes,Uncommitted.Number of Votes,Uncommitted.Percent of Votes,2014 Population,2010 Population,Population Percent Change,Percent Under 5 Years,Percent Under 18 Years,Percent 65 and Older,Percent Female,Percent White,Percent Black or African American,Percent American Indian and Alaska Native,Percent Asian,Percent Native Hawaiian and Other Pacific Islander,Percent Two or More Races,Percent Hispanic or Latino,"Percent White, not Hispanic or Latino",Veterans,Percent Foreign Born,Percent High School or Higher,Percent Bachelor's Degree or Higher,Housing Units,Percent Housing Units in Multi-Unit Structures,Homeownership Rate,Median Value of Owner-Occupied Units,Building Permits,Households,Persons per Household,Percent Living in Same House +1 Years,Percent Language Other than English at Home,Mean Travel Time to Work,Median Household Income,Per Capita Income,Percent Below Poverty Level,Accommodation and Food Services Sales,Manufacturers Shipments,Merchant Wholesaler Sales,Retail Sales,Retail Sales per Capita,Population per Square Mile,Land Area,Democratic,Republic,Party
0,Clinton,IN,0,Republican,0.0,1046,Democrat,59.1,0,Republican,0.0,0,Republican,0.0,3252,Republican,49.2,724,Democrat,40.9,0,Republican,0.0,474,Republican,7.2,0,Republican,0.0,0,Democrat,0.0,0,Republican,0.0,0,Republican,0.0,0,Republican,0.0,2637,Republican,39.9,0,0.0,0,0.0,32776,33224,-1.3,6.9,26.3,15.8,50.5,97.8,0.6,0.4,0.3,0.0,0.9,14.9,83.4,2051,6.5,84.7,13.0,13248,12.7,72.1,97300,24,11745,2.76,84.7,12.5,22.1,48953,21554,13.9,250,22834,0,2235,6579,82.0,405.07,1770,6363,0
1,Cass,NE,0,Republican,0.0,151,Democrat,53.4,0,Republican,0.0,0,Republican,0.0,1811,Republican,60.6,132,Democrat,46.6,0,Republican,0.0,283,Republican,9.5,0,Republican,0.0,0,Democrat,0.0,0,Republican,0.0,0,Republican,0.0,0,Republican,0.0,673,Republican,22.5,0,0.0,0,0.0,25524,25241,1.1,6.0,24.6,16.1,49.6,97.0,0.5,0.5,0.5,0.1,1.5,3.1,94.3,3091,1.3,94.0,23.6,11250,6.8,79.2,146700,63,9701,2.57,90.7,3.4,27.0,64697,29638,6.4,142,0,990,1836,7196,45.3,557.45,283,2767,0
2,Walton,GA,1046,Republican,5.5,969,Democrat,29.4,0,Republican,0.0,0,Republican,0.0,7910,Republican,41.6,2309,Democrat,69.9,0,Republican,0.0,539,Republican,2.8,3440,Republican,18.1,0,Democrat,0.0,0,Republican,0.0,0,Republican,0.0,0,Republican,0.0,5883,Republican,30.9,0,0.0,0,0.0,87615,83768,4.6,6.2,25.9,14.2,51.3,79.6,17.0,0.4,1.4,0.1,1.5,3.9,76.5,5764,4.4,83.1,18.4,32544,9.3,75.1,157100,271,29520,2.84,86.9,6.4,31.3,52369,22824,13.8,583,5918,2604,7971,9577,257.2,325.68,3278,18818,0
3,Norfolk,MA,38,Republican,2.2,956,Democrat,55.3,0,Republican,0.0,0,Republican,0.0,712,Republican,41.1,760,Democrat,43.9,0,Republican,0.0,420,Republican,24.2,363,Republican,21.0,0,Democrat,0.0,0,Republican,0.0,0,Republican,0.0,0,Republican,0.0,153,Republican,8.8,6,0.3,0,0.0,692254,670850,3.2,5.4,21.6,15.7,52.1,80.9,6.9,0.2,10.2,0.0,1.8,4.0,77.8,38108,15.5,93.7,49.2,272940,37.2,69.3,391100,1594,257451,2.56,88.7,19.0,31.5,84916,44692,6.6,12940,103407,123988,112414,17133,1693.6,396.11,1716,1686,1
4,Beaver,PA,0,Republican,0.0,9563,Democrat,41.8,0,Republican,0.0,0,Republican,0.0,11178,Republican,57.5,12963,Democrat,56.7,0,Republican,0.0,3572,Republican,18.4,0,Republican,0.0,0,Democrat,0.0,0,Republican,0.0,0,Republican,0.0,0,Republican,0.0,4331,Republican,22.3,0,0.0,0,0.0,169392,170539,-0.7,5.1,19.7,19.7,51.6,91.1,6.4,0.1,0.5,0.0,1.8,1.4,89.9,15600,1.8,91.0,21.9,78381,17.0,73.4,115400,141,70867,2.35,89.7,3.5,25.1,49217,26258,12.2,1563,47088,11800,15552,8989,392.3,434.71,22526,19081,1
5,Sedgwick,CO,0,Republican,0.0,8,Democrat,38.1,0,Republican,0.0,0,Republican,0.0,0,Republican,0.0,13,Democrat,61.9,0,Republican,0.0,0,Republican,0.0,0,Republican,0.0,0,Democrat,0.0,0,Republican,0.0,0,Republican,0.0,0,Republican,0.0,0,Republican,0.0,0,0.0,0,0.0,2348,2379,-1.3,5.2,20.3,24.4,50.0,95.4,0.5,1.0,1.4,0.0,1.7,15.1,82.1,230,3.2,86.8,15.0,1408,12.9,68.6,81400,1,943,2.47,78.5,10.3,18.9,40221,21536,18.9,16,0,0,333,14305,4.3,548.04,21,0,1
6,Clatsop,OR,0,Republican,0.0,3334,Democrat,55.9,0,Republican,0.0,0,Republican,0.0,2391,Republican,69.9,2628,Democrat,44.1,0,Republican,0.0,594,Republican,17.4,0,Republican,0.0,0,Democrat,0.0,0,Republican,0.0,0,Republican,0.0,0,Republican,0.0,434,Republican,12.7,0,0.0,0,0.0,37474,37039,1.2,5.3,19.6,19.3,50.6,93.1,0.9,1.3,1.6,0.3,2.8,8.1,86.1,3979,5.8,91.5,23.2,21801,21.5,62.7,256500,102,15749,2.3,81.1,8.2,18.2,44683,25680,16.5,1605,6836,755,6044,16299,44.7,829.05,5962,3419,1
7,Forest,PA,0,Republican,0.0,221,Democrat,45.9,0,Republican,0.0,0,Republican,0.0,597,Republican,63.7,251,Democrat,52.1,0,Republican,0.0,138,Republican,14.7,0,Republican,0.0,0,Democrat,0.0,0,Republican,0.0,0,Republican,0.0,0,Republican,0.0,180,Republican,19.2,0,0.0,0,0.0,7518,7716,-2.6,1.5,7.4,21.3,32.9,79.4,19.0,0.5,0.2,0.0,0.9,5.9,74.6,1008,1.0,81.6,7.8,8675,1.7,83.1,83600,4,2001,2.37,85.8,5.9,26.7,36556,13646,16.3,83,0,0,192,2779,18.1,427.19,472,915,0
8,Barton,MO,0,Republican,0.0,214,Democrat,50.2,0,Republican,0.0,0,Republican,0.0,986,Republican,34.1,205,Democrat,48.1,0,Republican,0.0,170,Republican,5.9,103,Republican,3.6,0,Democrat,0.0,0,Republican,0.0,0,Republican,0.0,0,Republican,0.0,1560,Republican,53.9,0,0.0,0,0.0,12057,12402,-2.8,5.7,25.0,18.6,50.7,94.7,0.8,1.3,0.5,0.1,2.6,2.5,92.9,991,2.2,85.8,16.9,5568,7.9,75.3,84700,2,5065,2.42,89.0,3.2,19.3,40580,20678,18.7,84,1743,760,1351,10623,21.0,591.92,419,2819,0
9,McCurtain,OK,124,Republican,9.1,1314,Democrat,52.3,0,Republican,0.0,0,Republican,0.0,472,Republican,34.7,712,Democrat,28.3,0,Republican,0.0,41,Republican,3.0,221,Republican,16.3,0,Democrat,0.0,0,Republican,0.0,0,Republican,0.0,0,Republican,0.0,473,Republican,34.8,0,0.0,0,0.0,33050,33151,-0.3,7.3,25.7,17.0,51.0,67.2,8.7,15.9,0.6,0.8,6.8,5.5,63.5,2605,1.5,80.8,13.9,15578,7.5,68.1,71500,8,13078,2.49,87.8,4.0,22.2,31790,17615,26.1,216,13616,957,2610,7800,17.9,1850.01,2026,1331,1
